Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
task_success,jensen,8,5,12.0,16.0,57.0,111.0,0.0975609756098,0.428571428571,0.158940397351
task_success,jensen,8,6,17.0,17.0,56.0,106.0,0.138211382114,0.5,0.216560509554
task_success,jensen,8,7,16.0,8.0,65.0,107.0,0.130081300813,0.666666666667,0.21768707483
task_success,kullback leibler,8,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,kullback leibler,8,2,4.0,2.0,71.0,119.0,0.0325203252033,0.666666666667,0.062015503876
task_success,kullback leibler,8,3,10.0,19.0,54.0,113.0,0.0813008130081,0.344827586207,0.131578947368
task_success,kullback leibler,8,4,21.0,16.0,57.0,102.0,0.170731707317,0.567567567568,0.2625
task_success,kullback leibler,8,5,18.0,20.0,53.0,105.0,0.146341463415,0.473684210526,0.223602484472
task_success,kullback leibler,8,6,23.0,23.0,50.0,100.0,0.186991869919,0.5,0.272189349112
task_success,kullback leibler,8,7,25.0,17.0,56.0,98.0,0.20325203252,0.595238095238,0.30303030303
task_success,mean kullback leibler,8,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,8,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,mean kullback leibler,8,3,2.0,12.0,61.0,121.0,0.0162601626016,0.142857142857,0.029197080292
task_success,mean kullback leibler,8,4,13.0,8.0,65.0,110.0,0.105691056911,0.619047619048,0.180555555556
task_success,mean kullback leibler,8,5,10.0,15.0,58.0,113.0,0.0813008130081,0.4,0.135135135135
task_success,mean kullback leibler,8,6,15.0,16.0,57.0,108.0,0.121951219512,0.483870967742,0.194805194805
task_success,mean kullback leibler,8,7,16.0,8.0,65.0,107.0,0.130081300813,0.666666666667,0.21768707483
task_success,symmetric kullback leibler,8,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,8,2,0.0,0.0,73.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,8,3,2.0,12.0,61.0,121.0,0.0162601626016,0.142857142857,0.029197080292
task_success,symmetric kullback leibler,8,4,13.0,8.0,65.0,110.0,0.105691056911,0.619047619048,0.180555555556
task_success,symmetric kullback leibler,8,5,10.0,15.0,58.0,113.0,0.0813008130081,0.4,0.135135135135
task_success,symmetric kullback leibler,8,6,15.0,16.0,57.0,108.0,0.121951219512,0.483870967742,0.194805194805
