Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
word_accuracy_60;jensen;5;0.05;2;79.0;6.0;11.0;20.0;0.79797979798;0.929411764706;0.858695652174
word_accuracy_60;kullback leibler;5;0.05;2;76.0;9.0;8.0;23.0;0.767676767677;0.894117647059;0.826086956522
word_accuracy_60;mean kullback leibler;5;0.05;2;82.0;7.0;10.0;17.0;0.828282828283;0.921348314607;0.872340425532
word_accuracy_60;symmetric kullback leibler;5;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;5;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;6;0.05;2;7.0;1.0;16.0;92.0;0.0707070707071;0.875;0.130841121495
word_accuracy_60;jensen;6;0.05;2;82.0;14.0;3.0;17.0;0.828282828283;0.854166666667;0.841025641026
word_accuracy_60;kullback leibler;6;0.05;2;84.0;13.0;4.0;15.0;0.848484848485;0.865979381443;0.857142857143
word_accuracy_60;mean kullback leibler;6;0.05;2;86.0;16.0;1.0;13.0;0.868686868687;0.843137254902;0.855721393035
word_accuracy_60;symmetric kullback leibler;6;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;6;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;7;0.05;2;6.0;0.0;17.0;93.0;0.0606060606061;1.0;0.114285714286
word_accuracy_60;jensen;7;0.05;2;89.0;11.0;6.0;10.0;0.89898989899;0.89;0.894472361809
word_accuracy_60;kullback leibler;7;0.05;2;82.0;10.0;7.0;17.0;0.828282828283;0.891304347826;0.858638743455
word_accuracy_60;mean kullback leibler;7;0.05;2;91.0;11.0;6.0;8.0;0.919191919192;0.892156862745;0.905472636816
word_accuracy_60;symmetric kullback leibler;7;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;7;0.05;2;0.0;0.0;17.0;99.0;0;0;0
word_accuracy_60;cosine;8;0.05;2;2.0;0.0;17.0;97.0;0.020202020202;1.0;0.039603960396
word_accuracy_60;jensen;8;0.05;2;84.0;10.0;7.0;15.0;0.848484848485;0.893617021277;0.870466321244
word_accuracy_60;kullback leibler;8;0.05;2;86.0;12.0;5.0;13.0;0.868686868687;0.877551020408;0.873096446701
word_accuracy_60;mean kullback leibler;8;0.05;2;85.0;11.0;6.0;14.0;0.858585858586;0.885416666667;0.871794871795
word_accuracy_60;symmetric kullback leibler;8;0.05;2;99.0;17.0;0.0;0.0;1.0;0.853448275862;0.920930232558
word_accuracy_60;rank order;8;0.05;2;0.0;0.0;17.0;99.0;0;0;0
