Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
simulation_quality,mean kullback leibler,5,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,5,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,5,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,5,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,5,6,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,mean kullback leibler,5,7,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,5,1,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,5,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,5,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,5,4,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,5,5,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,5,6,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,symmetric kullback leibler,5,7,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,cosine,6,1,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,cosine,6,2,1575.0,1556.0,24.0,5.0,0.996835443038,0.503034174385,0.668647845468
simulation_quality,cosine,6,3,1421.0,1233.0,347.0,159.0,0.899367088608,0.535418236624,0.671232876712
simulation_quality,cosine,6,4,1214.0,998.0,582.0,366.0,0.76835443038,0.548824593128,0.64029535865
simulation_quality,cosine,6,5,1167.0,968.0,612.0,413.0,0.738607594937,0.546604215457,0.628263795424
simulation_quality,cosine,6,6,1087.0,912.0,668.0,493.0,0.687974683544,0.543771885943,0.607432243643
simulation_quality,cosine,6,7,1120.0,959.0,621.0,460.0,0.708860759494,0.538720538721,0.612189122711
simulation_quality,jensen,6,1,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,6,2,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,6,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
