iteration,tar_WA,confirm strategy,taskID,numTurns,numUserTurns,WPST,WPUT,numAVPs,sumCorrectAVPs,sumDeletions,sumSubstitutions,sumInsertions,CER,sumPACO,sumPAPA,sumPAFA,sumPAIC,UA,QD,CE,numSolutions,numBargeIns,numCancelAttempts,numHelpRequests,# turns / concept,# turns till solution,# affirms,# negations,# accepts,# neglects,task success
576,90,1,58,25,12,19.0769230769,,0.9230769231,9,3,0,0,0.25,9,0,3,0,0.75,0.4615384615,0.6666666667,1,0,0,0,1.7142857143,12,0,0,3,0,SCs
577,90,1,58,25,12,13.6923076923,,0.9230769231,8,4,0,1,0.4166666667,8,0,3,1,0.6666666667,0.3076923077,0.5,2,0,0,0,2,12,0,0,4,0,FS
578,90,1,58,7,3,20,,1.75,7,0,0,1,0.1428571429,2,0,0,1,0.6666666667,1.25,1,1,0,0,0,0.6,3,0,0,1,0,S
579,90,1,58,5,2,24.6666666667,,2,4,2,0,0,0.3333333333,1,1,0,0,0.5,1,0.6,1,0,0,0,0.4,2,0,0,1,0,SCs
580,90,1,58,5,2,26.3333333333,,2,6,0,0,1,0.1666666667,1,0,0,1,0.5,1.6666666667,1,1,0,0,0,0.4,2,0,0,1,0,S
581,100,0,59,11,5,21.1666666667,,1.1666666667,6,1,0,0,0.1428571429,4,0,1,0,0.8,0.8333333333,1,1,0,0,0,1,5,0,0,1,0,SCuCs
582,100,0,59,11,5,21.1666666667,,1.1666666667,6,1,0,0,0.1428571429,4,0,1,0,0.8,0.8333333333,1,1,0,0,0,1,5,0,0,1,0,SCuCs
583,100,0,59,13,6,20.1428571429,,1.2857142857,8,1,0,4,0.5555555556,4,0,0,2,0.6666666667,0.7142857143,0.8333333333,1,0,0,0,1,6,0,0,1,0,SCuCs
584,100,0,59,13,6,16.5714285714,,0.8571428571,5,0,1,0,0.1666666667,5,0,0,1,0.8333333333,0.7142857143,0.8333333333,1,0,0,0,1,6,0,0,0,0,S
585,100,0,59,13,6,20.1428571429,,1.2857142857,8,1,0,2,0.3333333333,5,0,0,1,0.8333333333,0.7142857143,0.8333333333,1,0,0,0,1,6,0,0,1,0,SCuCs
586,100,0,59,17,8,19.6666666667,,1.1111111111,8,2,0,0,0.2,6,0,2,0,0.75,0.5555555556,0.8333333333,0,0,0,0,1.3333333333,8,0,1,2,0,SN
587,100,0,59,23,11,18.1666666667,,0.9166666667,10,1,0,2,0.2727272727,8,0,1,2,0.7272727273,0.6666666667,0.8888888889,1,0,0,0,1.5714285714,11,0,0,1,0,SCuCs
588,100,0,59,23,11,16,,0.9166666667,10,1,0,1,0.1818181818,9,0,1,1,0.8181818182,0.6666666667,0.8888888889,1,0,0,0,1.375,11,0,0,1,0,SCu
589,100,0,59,5,2,29,,0.6666666667,2,0,0,0,0,2,0,0,0,1,0.6666666667,1,2,0,0,0,1,2,0,0,0,0,FS
590,100,0,59,21,10,18.3636363636,,0.9090909091,9,1,0,2,0.3,7,0,1,2,0.7,0.6363636364,0.875,1,0,0,0,1.4285714286,10,0,0,1,0,SCuCs
591,70,0,60,9,4,22.8,,0.8,4,0,0,1,0.25,3,0,0,1,0.75,0.8,1,3,0,0,0,1,4,0,0,0,0,FS
592,70,0,60,5,2,29.3333333333,,1.3333333333,2,2,0,2,1,1,0,0,1,0.5,0.6666666667,0.5,3,0,0,0,0.6666666667,2,0,0,0,0,FS
593,70,0,60,13,6,25.5714285714,,1.1428571429,4,4,0,1,0.625,3,0,2,1,0.5,0.5714285714,0.5,3,0,0,0,1,6,0,0,0,0,FS
594,70,0,60,5,2,24,,1.3333333333,4,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0.6666666667,2,0,1,0,0,SN
595,70,0,60,7,3,23.75,,1.25,2,3,0,2,1,0,0,1,2,0,0.5,0.4,2,0,0,0,0.75,3,0,0,0,0,FS
596,70,0,60,7,3,25.5,,1.25,4,1,0,3,0.8,1,0,0,2,0.3333333333,0.5,0.6666666667,2,0,0,0,1,3,0,0,0,0,SCs
597,70,0,60,7,3,24.5,,1.25,3,2,0,0,0.4,2,1,0,0,0.6666666667,0.75,0.6,2,0,0,0,0.75,3,0,0,0,0,SCs
598,70,0,60,3,1,36,,1.5,2,1,0,1,0.6666666667,0,0,0,1,0,1,0.6666666667,2,0,0,0,0.3333333333,1,0,0,0,0,SCs
599,70,0,60,17,8,12.4444444444,,0.8888888889,4,4,0,0,0.5,5,0,4,0,0.625,0.4444444444,0.5,0,0,0,0,1.6,9,0,0,0,0,FU
600,70,0,60,21,10,19.9090909091,,0.9090909091,6,4,0,2,0.6,4,0,4,2,0.4,0.5454545455,0.6666666667,2,0,0,0,1.6666666667,10,0,0,0,0,FS
601,100,0,61,3,1,38.5,,0.5,1,0,0,0,0,1,0,0,0,1,0.5,1,3,0,0,0,1,1,0,0,0,0,S
602,100,0,61,3,1,41,,0.5,1,0,0,2,2,0,0,0,1,0,0.5,1,3,0,0,0,1,1,0,0,0,0,S
603,100,0,61,9,4,24.4,,0.8,3,1,0,5,1.5,1,0,0,3,0.25,0.4,0.6666666667,3,0,0,0,1.3333333333,4,0,0,0,0,S
604,100,0,61,5,2,32.6666666667,,0.6666666667,2,0,0,0,0,2,0,0,0,1,0.6666666667,1,3,0,0,0,1,2,0,0,0,0,S
605,100,0,61,3,1,41,,0.5,1,0,0,2,2,0,0,0,1,0,0.5,1,3,0,0,0,1,1,0,0,0,0,S
606,100,0,61,3,1,38.5,,0.5,1,0,0,2,2,0,0,0,1,0,0.5,1,3,0,0,0,1,1,0,0,0,0,S
607,100,0,61,7,3,31.5,,0.75,2,1,0,0,0.3333333333,2,0,1,0,0.6666666667,0.5,0.6666666667,3,0,0,0,1.5,3,0,0,0,0,S
608,100,0,61,3,1,38.5,,0.5,1,0,0,1,1,0,0,0,1,0,0.5,1,3,0,0,0,1,1,0,0,0,0,S
609,100,0,61,3,1,38.5,,0.5,1,0,0,0,0,1,0,0,0,1,0.5,1,3,0,0,0,1,1,0,0,0,0,S
610,100,0,61,7,3,31.5,,0.75,2,1,0,0,0.3333333333,2,0,1,0,0.6666666667,0.5,0.6666666667,3,0,0,0,1.5,3,0,0,0,0,S
611,100,1,62,7,3,19.75,,1.75,5,2,0,2,0.5714285714,1,0,1,1,0.3333333333,1,0.6666666667,0,0,0,0,0.6,3,0,1,0,0,SN
612,100,1,62,7,3,20.25,,1.75,7,0,0,1,0.1428571429,2,0,0,1,0.6666666667,1.25,1,0,0,0,0,0.6,3,0,1,1,0,SN
613,100,1,62,17,8,14.8888888889,,0.8888888889,7,1,0,2,0.375,6,0,0,2,0.75,0.4444444444,0.8,2,0,0,0,2,8,0,0,3,0,FS
614,100,1,62,7,3,21.5,,1.75,7,0,0,1,0.1428571429,2,0,0,1,0.6666666667,1.25,1,0,0,0,0,0.6,3,0,1,1,0,SN
615,100,1,62,21,10,13.9090909091,,0.9090909091,10,0,0,2,0.2,8,0,0,2,0.8,0.4545454545,1,2,0,0,0,2,10,0,0,4,0,FS
616,100,1,62,7,3,22,,0.75,3,0,0,1,0.3333333333,2,0,0,1,0.6666666667,0.5,1,2,0,0,0,1.5,3,0,0,1,0,FS
617,100,1,62,15,7,15.875,,0.875,7,0,0,1,0.1428571429,6,0,0,1,0.8571428571,0.5,1,2,0,0,0,1.75,7,0,0,3,0,FS
618,100,1,62,15,7,15.625,,0.875,7,0,0,2,0.2857142857,5,0,0,2,0.7142857143,0.5,1,2,0,0,0,1.75,7,0,0,3,0,FS
